Вулиця,Район,Місто,Область,Ціна,Кімнат,Поверх,Поверховість,Загальна площа,Житлова площа,Стіни,Кухня
Богуна Ивана проезд,Корбутівка,Житомир,Житомирська,20000,3,5,9,85.0,56.55879699175977,цегла,12.0
Николая Михновского улица,Левобережный,Днепр,Дніпропетровська,10000,2,6,10,56.0,35.40100054668056,панель,8.0
Олимпийская улица,Комунарський,Запоріжжя,Запорізька ,5000,1,1,9,42.0,22.888029040730988,панель,9.0
Соборный проспект,Александровский (Жовтневый),Запоріжжя,Запорізька ,15000,4,5,5,88.0,62.73223020901427,цегла,14.0
Стародніпровська  Воронезька,Хортицький,Запоріжжя,Запорізька ,2500,1,7,9,36.0,19.430099065079126,панель,9.0
Космическая улица,Комунарський,Запоріжжя,Запорізька ,9000,2,3,5,48.0,30.790427245811408,цегла,7.0
Хортицкое шоссе,Хортицький,Запоріжжя,Запорізька ,2500,1,8,9,35.0,18.853777402470485,панель,8.0
Профессора-Толока,Днепровский (Ленинский),Запоріжжя,Запорізька ,7000,2,7,9,65.0,40.58789551015835,панель,16.0
Товарищеская улица,Днепровский (Ленинский),Запоріжжя,Запорізька ,10000,3,5,9,65.0,45.032363739586906,панель,10.0
Энтузиастов улица,Хортицький,Запоріжжя,Запорізька ,3500,2,3,5,42.0,27.332497270159543,панель,6.0
Вовчинецька улица,Софіївка,Івано-Франківськ,Івано-Франківська ,12000,2,10,11,68.0,42.31686049798428,цегла,16.0
Пасечная улица,Пасічна,Івано-Франківськ,Івано-Франківська ,12950,2,7,10,59.0,37.12996553450649,цегла,12.0
Гетьмана Ивана Мазепы улица,Центр,Івано-Франківськ,Івано-Франківська ,22200,2,6,10,73.0,45.198468811027496,цегла,13.0
Горбачевского улица,Пасічна,Івано-Франківськ,Івано-Франківська ,12000,1,2,11,50.0,27.498602341600133,цегла,10.0
Героев Николаева (Сеченова) улица,Майзли,Івано-Франківськ,Івано-Франківська ,20350,3,9,11,109.0,70.39051689436721,цегла,14.0
Гетьмана Ивана Мазепы улица,Центр,Івано-Франківськ,Івано-Франківська ,22200,2,3,10,55.0,34.824678884071915,цегла,16.0
